Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	-453.192506402	33.2651159955	-527.565054609	-409.412740132	296.762996106	26.7885124559	252.429855318	359.705316792
1	-1057.7328951	100.721991461	-1163.32859376	-797.504947222	925.893013713	74.2997287699	724.598720193	996.994873815
2	-1091.20197233	93.0070024097	-1224.43418921	-962.461678552	959.252561472	62.0563091219	829.617449456	1053.60738964
3	-1468.7927473	45.8022060187	-1564.15414971	-1385.67133958	1290.1178531	54.462848378	1180.50468038	1406.29577603
4	-1407.83910331	49.4013455014	-1496.03702308	-1320.12164517	1234.2214772	45.4967739368	1163.87416437	1322.7378979
5	-1481.13344706	66.7094401704	-1619.12319894	-1387.16458496	1299.51182539	70.914387168	1205.151832	1450.8549137
6	-1516.79025472	55.8378950289	-1594.85975936	-1419.18510824	1325.89867329	48.5340622046	1226.61895598	1386.01274675
7	-1482.05807694	41.5757934294	-1579.2556221	-1436.87328345	1323.81273953	46.8304422389	1265.80385328	1414.65859678
8	-1509.82987014	55.7034307272	-1611.09650297	-1427.64461236	1329.58452582	51.2031345486	1259.61589324	1427.07794324
9	-1560.77591786	70.8129141651	-1649.58957522	-1401.42994529	1370.18451291	66.9115461042	1224.58200899	1445.93172499
10	-1510.9526583	39.6653410417	-1569.0189164	-1421.83762552	1344.22450874	26.6571822485	1301.33410972	1391.51570816
11	-1535.99292207	79.4333110543	-1646.41430988	-1394.19257759	1351.67693401	71.819734078	1228.23222293	1457.32677134
12	-1576.1060565	27.0044080772	-1616.46836159	-1538.1637712	1399.09090178	29.3318623924	1357.33390187	1452.37449959
13	-1533.56849861	52.3042401842	-1626.89269276	-1453.73738781	1356.54452199	64.1628919768	1251.39499406	1441.10752988
14	-1516.51776172	56.1520515379	-1624.03258692	-1405.20784801	1325.81731538	57.5508896673	1212.03408552	1430.64220252
