Time	Iteration	l1	l2	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.5409467220306396	0	29.378	29.5855	35.6666666667	17.7507433334	73.0	10.0	35.6666666667	17.7507433334	1070	1070
0.7222437858581543	1	40.0346	40.486	54.4210526316	22.5862459066	100.0	25.0	54.4210526316	22.5862459066	1034	2104
0.8974757194519043	2	33.7065	33.9077	49.2857142857	18.6244663897	93.0	21.0	49.2857142857	18.6244663897	1035	3139
1.082200527191162	3	44.5749	44.8057	63.4117647059	30.6652875674	138.0	26.0	63.4117647059	30.6652875674	1078	4217
1.2544677257537842	4	35.6696	35.7198	55.4210526316	19.9639564412	87.0	21.0	55.4210526316	19.9639564412	1053	5270
1.4447126388549805	5	32.4129	32.4796	54.6842105263	18.901552795	102.0	32.0	54.6842105263	18.901552795	1039	6309
1.617945671081543	6	46.1456	46.072	65.1875	35.1500689011	162.0	27.0	65.1875	35.1500689011	1043	7352
1.7915699481964111	7	43.1834	43.0392	73.8571428571	25.7289640646	119.0	36.0	73.8571428571	25.7289640646	1034	8386
1.972679853439331	8	31.3544	31.3343	52.65	19.4994230684	112.0	31.0	52.65	19.4994230684	1053	9439
2.1464426517486572	9	31.1945	31.085	55.6842105263	14.8396787863	101.0	39.0	55.6842105263	14.8396787863	1058	10497
2.330575466156006	10	36.141	36.2229	61.7777777778	21.2251306908	117.0	32.0	61.7777777778	21.2251306908	1112	11609
2.5082156658172607	11	33.992	33.9736	59.8823529412	19.5384458198	96.0	35.0	59.8823529412	19.5384458198	1018	12627
2.684156656265259	12	32.1708	32.1401	59.5555555556	16.7968985967	92.0	38.0	59.5555555556	16.7968985967	1072	13699
2.8640782833099365	13	29.2428	29.2279	50.9	18.8941789978	117.0	22.0	50.9	18.8941789978	1018	14717
3.033597946166992	14	32.0678	32.1037	54.1052631579	21.9566432504	135.0	31.0	54.1052631579	21.9566432504	1028	15745
3.209591865539551	15	39.4453	39.379	60.4705882353	36.0703848657	160.0	30.0	60.4705882353	36.0703848657	1028	16773
3.3814895153045654	16	33.9279	33.8178	61.4705882353	25.9005283777	125.0	27.0	61.4705882353	25.9005283777	1045	17818
3.5605239868164062	17	33.4544	33.4814	60.8333333333	24.522665253	127.0	34.0	60.8333333333	24.522665253	1095	18913
3.7282164096832275	18	31.9944	31.9691	64.5	17.8465682976	99.0	39.0	64.5	17.8465682976	1032	19945
3.9020016193389893	19	25.0961	25.0347	53.3157894737	7.98717809057	66.0	38.0	53.3157894737	7.98717809057	1013	20958
4.093665838241577	20	33.1037	33.0783	65.9375	24.9686522213	139.0	41.0	65.9375	24.9686522213	1055	22013
4.262516736984253	21	30.6249	30.6689	64.0625	19.7720407078	123.0	43.0	64.0625	19.7720407078	1025	23038
4.434664726257324	22	30.9303	30.8192	69.2	18.9849062854	108.0	43.0	69.2	18.9849062854	1038	24076
4.60947585105896	23	31.1573	31.2031	71.7333333333	17.8529798322	123.0	50.0	71.7333333333	17.8529798322	1076	25152
4.784225225448608	24	33.3595	33.2022	76.0	24.8538585679	128.0	46.0	76.0	24.8538585679	1064	26216
4.977746486663818	25	35.629	35.6785	73.4375	34.5777543191	188.0	45.0	73.4375	34.5777543191	1175	27391
5.149795055389404	26	32.9233	32.823	80.1538461538	23.62152263	127.0	44.0	80.1538461538	23.62152263	1042	28433
5.317373275756836	27	28.812	28.8541	72.2142857143	17.4035241564	111.0	53.0	72.2142857143	17.4035241564	1011	29444
5.504898309707642	28	34.9538	34.8644	87.3076923077	29.7150172223	167.0	54.0	87.3076923077	29.7150172223	1135	30579
5.692033290863037	29	30.2104	30.2526	75.6666666667	24.151374472	138.0	45.0	75.6666666667	24.151374472	1135	31714
5.870734930038452	30	29.7353	29.4193	82.6923076923	24.0716386435	122.0	43.0	82.6923076923	24.0716386435	1075	32789
6.0393078327178955	31	29.0835	29.6985	78.1538461538	29.5474745865	142.0	42.0	78.1538461538	29.5474745865	1016	33805
6.210585117340088	32	29.624	30.3594	80.8461538462	18.9689874587	108.0	46.0	80.8461538462	18.9689874587	1051	34856
6.38178825378418	33	23.3268	23.3208	61.0	23.8992985376	147.0	32.0	61.0	23.8992985376	1037	35893
6.554701328277588	34	31.0864	31.1623	69.0	39.0691694306	200.0	39.0	69.0	39.0691694306	1035	36928
6.734313011169434	35	24.0171	23.903	71.6666666667	19.6083882277	119.0	46.0	71.6666666667	19.6083882277	1075	38003
6.904188632965088	36	24.5527	24.6582	64.8125	16.2566092329	109.0	43.0	64.8125	16.2566092329	1037	39040
7.073851108551025	37	25.8943	25.9023	68.4666666667	19.5375422087	120.0	45.0	68.4666666667	19.5375422087	1027	40067
7.248894453048706	38	27.1663	27.2266	71.6	25.5676879414	140.0	40.0	71.6	25.5676879414	1074	41141
7.424428939819336	39	27.1003	27.0135	71.6	22.750238094	127.0	45.0	71.6	22.750238094	1074	42215
7.592925786972046	40	25.1182	25.13	68.7333333333	18.670713847	106.0	39.0	68.7333333333	18.670713847	1031	43246
7.758571624755859	41	27.0703	27.0814	72.4285714286	19.510855168	117.0	44.0	72.4285714286	19.510855168	1014	44260
7.934505224227905	42	26.3761	26.5229	71.0666666667	15.424943724	100.0	50.0	71.0666666667	15.424943724	1066	45326
8.095356464385986	43	42.2385	42.0415	100.3	43.3936631318	200.0	53.0	100.3	43.3936631318	1003	46329
8.271626472473145	44	38.9136	39.3407	98.2727272727	38.0552013148	167.0	55.0	98.2727272727	38.0552013148	1081	47410
8.436649560928345	45	41.7368	42.0947	100.6	32.7939018721	163.0	66.0	100.6	32.7939018721	1006	48416
8.602821111679077	46	46.045	46.9767	114.111111111	27.4365710704	157.0	66.0	114.111111111	27.4365710704	1027	49443
8.779196739196777	47	52.7411	54.1099	138.375	30.8906842754	200.0	97.0	138.375	30.8906842754	1107	50550
8.960554599761963	48	62.1275	61.6071	158.857142857	29.8684189233	200.0	109.0	158.857142857	29.8684189233	1112	51662
9.143622875213623	49	52.2491	52.4836	139.5	17.8815547422	159.0	102.0	139.5	17.8815547422	1116	52778
9.31893515586853	50	60.3715	60.5886	152.714285714	29.9271223652	200.0	118.0	152.714285714	29.9271223652	1069	53847
9.485698699951172	51	57.6007	57.5111	143.714285714	15.5629072359	174.0	125.0	143.714285714	15.5629072359	1006	54853
9.663380146026611	52	62.5709	62.8269	157.857142857	30.3193882874	200.0	125.0	157.857142857	30.3193882874	1105	55958
9.837909460067749	53	48.7634	48.7514	132.875	20.0588976517	165.0	105.0	132.875	20.0588976517	1063	57021
10.003933429718018	54	51.2739	51.1168	127.0	21.1364613878	161.0	101.0	127.0	21.1364613878	1016	58037
10.180069923400879	55	54.2869	54.2801	135.75	30.934406411	200.0	99.0	135.75	30.934406411	1086	59123
10.369142055511475	56	60.9926	60.9477	148.25	33.9512518179	200.0	108.0	148.25	33.9512518179	1186	60309
10.54773759841919	57	55.6295	55.432	138.25	30.346952071	200.0	97.0	138.25	30.346952071	1106	61415
10.707706212997437	58	63.248	63.2503	143.0	38.7888054543	200.0	96.0	143.0	38.7888054543	1001	62416
10.880605459213257	59	56.9085	57.2697	134.25	30.4784760118	191.0	90.0	134.25	30.4784760118	1074	63490
11.046983480453491	60	59.1886	59.6429	145.857142857	27.2733704315	200.0	117.0	145.857142857	27.2733704315	1021	64511
11.212891578674316	61	62.7859	63.8132	144.857142857	32.8304239189	200.0	110.0	144.857142857	32.8304239189	1014	65525
11.40170693397522	62	71.9098	73.3059	167.857142857	24.4039140387	200.0	139.0	167.857142857	24.4039140387	1175	66700
11.576794385910034	63	78.7797	79.5362	181.833333333	23.5259903558	200.0	144.0	181.833333333	23.5259903558	1091	67791
11.769119262695312	64	85.6612	85.7039	200.0	0.0	200.0	200.0	200.0	0.0	1200	68991
11.958943605422974	65	75.5722	76.6473	179.833333333	28.6380671291	200.0	135.0	179.833333333	28.6380671291	1079	70070
12.160020112991333	66	79.7661	79.6385	182.666666667	26.8555808394	200.0	129.0	182.666666667	26.8555808394	1096	71166
12.372697830200195	67	72.8561	73.4003	167.857142857	25.1022399196	200.0	140.0	167.857142857	25.1022399196	1175	72341
12.576909065246582	68	69.0385	69.78	161.142857143	27.7304812767	200.0	125.0	161.142857143	27.7304812767	1128	73469
12.762346267700195	69	61.8559	61.8127	144.875	24.8668328301	197.0	115.0	144.875	24.8668328301	1159	74628
12.946747303009033	70	60.3178	60.9385	139.375	22.3491470754	188.0	113.0	139.375	22.3491470754	1115	75743
13.116705179214478	71	65.1537	69.2836	151.285714286	3.76883027379	155.0	144.0	151.285714286	3.76883027379	1059	76802
13.294552087783813	72	70.1606	76.2035	156.714285714	20.4849372238	200.0	131.0	156.714285714	20.4849372238	1097	77899
13.48624563217163	73	71.9103	82.0676	164.571428571	12.4769174634	187.0	146.0	164.571428571	12.4769174634	1152	79051
13.658581495285034	74	78.2703	85.2222	175.5	12.203141672	194.0	157.0	175.5	12.203141672	1053	80104
13.83506965637207	75	84.1089	93.8372	177.666666667	9.6896279025	188.0	168.0	177.666666667	9.6896279025	1066	81170
14.0219247341156	76	91.8615	92.285	194.5	6.26498204307	200.0	182.0	194.5	6.26498204307	1167	82337
14.210118532180786	77	97.4757	101.023	198.333333333	2.62466929134	200.0	193.0	198.333333333	2.62466929134	1190	83527
14.389426231384277	78	88.1886	95.3956	183.0	8.71779788708	200.0	173.0	183.0	8.71779788708	1098	84625
14.553786039352417	79	83.3285	84.5182	168.833333333	11.0817668066	183.0	147.0	168.833333333	11.0817668066	1013	85638
14.74097228050232	80	81.1963	81.6766	165.0	12.5811650607	181.0	145.0	165.0	12.5811650607	1155	86793
14.924407958984375	81	81.6937	81.7685	163.857142857	7.43406390358	178.0	155.0	163.857142857	7.43406390358	1147	87940
15.108177900314331	82	86.1868	88.8483	165.571428571	9.4090707429	179.0	154.0	165.571428571	9.4090707429	1159	89099
15.29805326461792	83	86.6376	87.9401	164.571428571	5.31459292507	173.0	159.0	164.571428571	5.31459292507	1152	90251
15.469087362289429	84	92.9887	93.9175	174.833333333	8.51306185941	185.0	158.0	174.833333333	8.51306185941	1049	91300
15.636769533157349	85	85.4309	85.7356	129.25	64.7779862299	181.0	13.0	129.25	64.7779862299	1034	92334
15.801481008529663	86	91.3592	91.5396	169.0	7.68114574787	180.0	157.0	169.0	7.68114574787	1014	93348
15.973365306854248	87	90.2931	93.59	150.714285714	56.8650389348	183.0	12.0	150.714285714	56.8650389348	1055	94403
16.153372287750244	88	83.8987	88.7373	159.857142857	4.67297920966	165.0	150.0	159.857142857	4.67297920966	1119	95522
16.32684826850891	89	80.3922	86.3399	153.571428571	8.13909687614	162.0	135.0	153.571428571	8.13909687614	1075	96597
16.500572204589844	90	79.2692	88.092	152.714285714	7.06529315364	164.0	143.0	152.714285714	7.06529315364	1069	97666
16.66518259048462	91	72.9943	77.9236	145.0	5.26443593505	151.0	136.0	145.0	5.26443593505	1015	98681
16.838908195495605	92	72.7266	80.6895	144.0	6.54653670708	155.0	132.0	144.0	6.54653670708	1008	99689
17.023917198181152	93	69.0431	75.1938	135.0	6.3835726674	144.0	127.0	135.0	6.3835726674	1080	100769
17.206908702850342	94	63.9089	65.5422	123.222222222	11.7735841591	140.0	103.0	123.222222222	11.7735841591	1109	101878
17.385903120040894	95	61.1491	67.2787	121.444444444	9.97899027525	135.0	108.0	121.444444444	9.97899027525	1093	102971
17.552043914794922	96	60.8101	63.9944	112.111111111	6.52251560953	123.0	101.0	112.111111111	6.52251560953	1009	103980
17.733309507369995	97	54.3894	55.1547	106.7	8.1859635963	116.0	88.0	106.7	8.1859635963	1067	105047
17.90196704864502	98	51.689	52.4784	85.5	36.0474224691	121.0	12.0	85.5	36.0474224691	1026	106073
18.074402332305908	99	53.6708	55.0708	101.0	12.4579292019	115.0	72.0	101.0	12.4579292019	1010	107083
