Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.182849407196045	0	12.2916666667	5.71124871881	35.0	5.0	12.2916666667	5.71124871881	5015	5015
3.665518283843994	1	26.6542553191	15.1156053284	103.0	7.0	26.6542553191	15.1156053284	5011	10026
5.117071151733398	2	55.5888888889	25.3091526898	162.0	15.0	55.5888888889	25.3091526898	5003	15029
6.5923120975494385	3	70.3888888889	24.2570468315	173.0	31.0	70.3888888889	24.2570468315	5068	20097
8.061511754989624	4	82.6229508197	29.2357090965	188.0	39.0	82.6229508197	29.2357090965	5040	25137
9.495762348175049	5	99.9019607843	33.0289563405	177.0	46.0	99.9019607843	33.0289563405	5095	30232
10.947441816329956	6	118.372093023	45.2101157932	237.0	50.0	118.372093023	45.2101157932	5090	35322
12.397432565689087	7	140.472222222	68.4030076138	375.0	69.0	140.472222222	68.4030076138	5057	40379
13.857328653335571	8	149.352941176	47.38384085	294.0	63.0	149.352941176	47.38384085	5078	45457
15.288403749465942	9	146.514285714	48.4475394797	316.0	85.0	146.514285714	48.4475394797	5128	50585
16.82045578956604	10	135.486486486	36.5222047391	234.0	81.0	135.486486486	36.5222047391	5013	55598
18.281998872756958	11	150.911764706	63.7496794211	388.0	90.0	150.911764706	63.7496794211	5131	60729
19.748072147369385	12	156.53125	59.2310013712	308.0	58.0	156.53125	59.2310013712	5009	65738
21.16942310333252	13	147.411764706	38.9721753284	247.0	64.0	147.411764706	38.9721753284	5012	70750
22.702075719833374	14	172.566666667	56.2397743792	318.0	95.0	172.566666667	56.2397743792	5177	75927
24.167386054992676	15	186.62962963	69.9137819022	383.0	89.0	186.62962963	69.9137819022	5039	80966
25.634856462478638	16	173.448275862	56.5847464562	304.0	71.0	173.448275862	56.5847464562	5030	85996
27.205010652542114	17	173.9	59.0448134894	299.0	73.0	173.9	59.0448134894	5217	91213
28.777942419052124	18	208.48	80.2013067225	450.0	108.0	208.48	80.2013067225	5212	96425
30.290802001953125	19	210.583333333	100.516962361	463.0	73.0	210.583333333	100.516962361	5054	101479
31.907971143722534	20	216.625	65.2768543079	332.0	109.0	216.625	65.2768543079	5199	106678
33.41990828514099	21	264.578947368	117.95106737	590.0	114.0	264.578947368	117.95106737	5027	111705
34.92833757400513	22	252.0	93.5088485754	471.0	98.0	252.0	93.5088485754	5292	116997
36.42184138298035	23	271.578947368	86.8327586677	503.0	152.0	271.578947368	86.8327586677	5160	122157
37.871702671051025	24	298.0	146.049548401	725.0	105.0	298.0	146.049548401	5066	127223
39.33801984786987	25	291.555555556	113.400579179	597.0	125.0	291.555555556	113.400579179	5248	132471
40.85383701324463	26	344.333333333	156.50672687	716.0	183.0	344.333333333	156.50672687	5165	137636
42.34718418121338	27	434.25	221.371529711	1000.0	171.0	434.25	221.371529711	5211	142847
43.98247218132019	28	500.7	223.626943815	1000.0	255.0	500.7	223.626943815	5007	147854
45.75021147727966	29	419.285714286	246.107824387	1000.0	47.0	419.285714286	246.107824387	5870	153724
47.18838858604431	30	740.0	266.378892343	1000.0	302.0	740.0	266.378892343	5180	158904
49.06979823112488	31	734.875	304.878023765	1000.0	202.0	734.875	304.878023765	5879	164783
50.79450011253357	32	616.666666667	235.665487974	1000.0	292.0	616.666666667	235.665487974	5550	170333
52.40021324157715	33	724.857142857	333.83461627	1000.0	180.0	724.857142857	333.83461627	5074	175407
54.10939407348633	34	816.714285714	279.668535584	1000.0	228.0	816.714285714	279.668535584	5717	181124
55.97497773170471	35	875.0	193.430435385	1000.0	489.0	875.0	193.430435385	5250	186374
57.7458860874176	36	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	192374
59.41799068450928	37	991.5	19.0065778087	1000.0	949.0	991.5	19.0065778087	5949	198323
61.076037883758545	38	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	204323
62.71912884712219	39	920.666666667	116.759962697	1000.0	706.0	920.666666667	116.759962697	5524	209847
64.46678113937378	40	976.0	53.66563146	1000.0	856.0	976.0	53.66563146	5856	215703
66.26985216140747	41	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	221703
68.09854936599731	42	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	227703
69.90503478050232	43	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	233703
71.68679594993591	44	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	239703
73.31451725959778	45	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	245703
74.94400906562805	46	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	251703
76.56563997268677	47	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	257703
78.18553042411804	48	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	263703
79.80959057807922	49	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	269703
81.53354668617249	50	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	275703
83.28678441047668	51	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	281703
85.0750207901001	52	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	287703
86.84645748138428	53	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	293703
88.55170845985413	54	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	299703
90.17089700698853	55	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	305703
91.54876852035522	56	514.5	291.081174245	1000.0	211.0	514.5	291.081174245	5145	310848
93.2034637928009	57	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	316848
