Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.0173110961914062	0	-4148.55222595	420.001597145	-3378.0482567	-4615.72850814	1000.0	0.0	6000	6000
5.171323537826538	1	-4458.56596381	174.287915339	-4229.77465787	-4755.60335038	1000.0	0.0	6000	12000
7.622618913650513	2	-4218.73458647	139.828380797	-4030.94439381	-4395.63344044	1000.0	0.0	6000	18000
9.748194456100464	3	-4246.08887185	318.240346425	-3797.1533362	-4817.48883139	1000.0	0.0	6000	24000
11.850819826126099	4	-4440.75059519	245.480106298	-4081.71460852	-4722.05523855	1000.0	0.0	6000	30000
13.977025032043457	5	-4126.82331908	191.611089254	-3836.29598821	-4417.08455057	1000.0	0.0	6000	36000
16.09301233291626	6	-4345.85389534	155.748454762	-4126.19668082	-4527.88534885	1000.0	0.0	6000	42000
18.18418002128601	7	-4255.59711841	169.631407501	-4054.38262747	-4553.24407159	1000.0	0.0	6000	48000
20.2815842628479	8	-4222.31458603	179.988676653	-3978.53296544	-4412.31010284	1000.0	0.0	6000	54000
22.435152530670166	9	-4382.69944036	166.962346282	-4186.3478362	-4643.3947226	1000.0	0.0	6000	60000
24.54964780807495	10	-4272.94494246	249.337142545	-4043.4737422	-4736.29746552	1000.0	0.0	6000	66000
26.645304203033447	11	-4244.31182159	207.347330834	-3947.5673036	-4471.62441216	1000.0	0.0	6000	72000
28.756450653076172	12	-4256.49155621	115.127333199	-4089.98191616	-4411.75709305	1000.0	0.0	6000	78000
30.902423620224	13	-4204.58798107	186.775467631	-3888.58998359	-4513.49181889	1000.0	0.0	6000	84000
32.99170541763306	14	-4097.06326082	201.061464906	-3772.65936897	-4404.59116333	1000.0	0.0	6000	90000
35.08815121650696	15	-4333.51004233	217.429066607	-4103.97107304	-4773.08367312	1000.0	0.0	6000	96000
37.20326066017151	16	-4099.74749296	224.045569633	-3673.74326326	-4392.27313391	1000.0	0.0	6000	102000
39.31208062171936	17	-4205.05963193	184.194044503	-3883.5757072	-4391.75950963	1000.0	0.0	6000	108000
41.429978370666504	18	-4268.69354715	129.831458403	-4034.94996481	-4396.99905076	1000.0	0.0	6000	114000
43.64396691322327	19	-3995.28431051	167.021703498	-3815.81540629	-4289.0112406	1000.0	0.0	6000	120000
45.752442598342896	20	-4235.73222097	125.383626793	-4124.09102243	-4434.58089326	1000.0	0.0	6000	126000
47.8580002784729	21	-4168.40074717	229.732931743	-3775.47147186	-4422.58854209	1000.0	0.0	6000	132000
49.96438980102539	22	-4032.48085665	162.683730235	-3771.79753366	-4252.28878221	1000.0	0.0	6000	138000
52.221338987350464	23	-4096.84445464	162.890392116	-3843.07496411	-4300.99146963	1000.0	0.0	6000	144000
54.42972683906555	24	-4150.3877575	245.293968432	-3897.29569789	-4635.58274667	1000.0	0.0	6000	150000
56.816385984420776	25	-4095.713168	243.044720227	-3755.87111837	-4558.26928987	1000.0	0.0	6000	156000
59.2446768283844	26	-4056.82757603	134.355994695	-3896.68796695	-4233.54773193	1000.0	0.0	6000	162000
65.13107323646545	27	-4095.1295988	244.888576985	-3694.16884957	-4307.84044154	1000.0	0.0	6000	168000
70.00327229499817	28	-4183.17266827	120.773400611	-3978.21078612	-4325.37493387	1000.0	0.0	6000	174000
73.98680686950684	29	-4226.23345384	152.550020419	-3973.38179996	-4430.71225061	1000.0	0.0	6000	180000
