Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.4200146198272705	0	25.2828282828	11.7932872569	69.0	8.0	25.2828282828	11.7932872569	5006	5006
2.6022045612335205	1	28.0335195531	14.8489224037	98.0	10.0	28.0335195531	14.8489224037	5018	10024
3.843041181564331	2	30.9691358025	18.4053879791	100.0	8.0	30.9691358025	18.4053879791	5017	15041
5.09153938293457	3	31.037037037	19.0861881704	143.0	9.0	31.037037037	19.0861881704	5028	20069
6.294069290161133	4	31.9171974522	15.8343180407	111.0	9.0	31.9171974522	15.8343180407	5011	25080
7.703539133071899	5	38.9461538462	21.8242319588	118.0	12.0	38.9461538462	21.8242319588	5063	30143
8.989457845687866	6	38.2977099237	18.980381457	121.0	10.0	38.2977099237	18.980381457	5017	35160
10.311431169509888	7	40.0555555556	20.2618985445	114.0	11.0	40.0555555556	20.2618985445	5047	40207
11.678921699523926	8	39.1640625	19.6861219136	123.0	11.0	39.1640625	19.6861219136	5013	45220
13.001522541046143	9	39.5118110236	19.2733613811	124.0	12.0	39.5118110236	19.2733613811	5018	50238
14.363739728927612	10	43.1293103448	21.2337281199	128.0	9.0	43.1293103448	21.2337281199	5003	55241
15.73933458328247	11	43.547826087	22.4058390985	116.0	14.0	43.547826087	22.4058390985	5008	60249
17.112857818603516	12	43.9298245614	19.5913153415	117.0	12.0	43.9298245614	19.5913153415	5008	65257
18.648144960403442	13	45.9449541284	20.0141394342	109.0	11.0	45.9449541284	20.0141394342	5008	70265
20.229261875152588	14	48.3238095238	26.4249143759	161.0	13.0	48.3238095238	26.4249143759	5074	75339
21.730849981307983	15	52.1458333333	24.9474360601	166.0	12.0	52.1458333333	24.9474360601	5006	80345
23.202538013458252	16	52.6947368421	25.9566738945	132.0	14.0	52.6947368421	25.9566738945	5006	85351
24.621604204177856	17	50.33	22.5455339258	156.0	13.0	50.33	22.5455339258	5033	90384
26.147672176361084	18	53.4893617021	25.760659715	152.0	13.0	53.4893617021	25.760659715	5028	95412
27.63196897506714	19	50.23	24.4351611413	151.0	10.0	50.23	24.4351611413	5023	100435
29.171902418136597	20	54.9782608696	21.0738753689	126.0	18.0	54.9782608696	21.0738753689	5058	105493
30.838268518447876	21	55.9222222222	27.3573990714	165.0	18.0	55.9222222222	27.3573990714	5033	110526
32.54701805114746	22	54.7608695652	23.8757515544	153.0	19.0	54.7608695652	23.8757515544	5038	115564
34.08691096305847	23	57.6781609195	23.7624712582	153.0	19.0	57.6781609195	23.7624712582	5018	120582
35.75376486778259	24	65.2207792208	30.3313405173	167.0	30.0	65.2207792208	30.3313405173	5022	125604
37.429723501205444	25	60.5421686747	24.8849406267	170.0	20.0	60.5421686747	24.8849406267	5025	130629
39.050755739212036	26	63.5189873418	24.6565577892	136.0	18.0	63.5189873418	24.6565577892	5018	135647
40.588255405426025	27	59.1529411765	29.8082127974	200.0	20.0	59.1529411765	29.8082127974	5028	140675
42.1847927570343	28	61.975308642	26.6499833501	150.0	24.0	61.975308642	26.6499833501	5020	145695
43.86588668823242	29	66.1447368421	29.1889055831	167.0	18.0	66.1447368421	29.1889055831	5027	150722
45.50342607498169	30	71.5571428571	30.6046848488	164.0	25.0	71.5571428571	30.6046848488	5009	155731
47.206462383270264	31	71.0845070423	33.6723008491	200.0	22.0	71.0845070423	33.6723008491	5047	160778
49.095192670822144	32	75.671641791	36.6994196789	200.0	29.0	75.671641791	36.6994196789	5070	165848
50.994054555892944	33	77.6153846154	36.5170949673	200.0	26.0	77.6153846154	36.5170949673	5045	170893
53.149943351745605	34	89.7368421053	46.3947691833	200.0	24.0	89.7368421053	46.3947691833	5115	176008
54.96614861488342	35	84.1833333333	29.8236436778	155.0	25.0	84.1833333333	29.8236436778	5051	181059
56.974281311035156	36	100.52	37.7492993312	195.0	34.0	100.52	37.7492993312	5026	186085
59.38258099555969	37	110.891304348	45.3581056755	200.0	39.0	110.891304348	45.3581056755	5101	191186
61.67457056045532	38	101.4	46.7598118046	200.0	29.0	101.4	46.7598118046	5070	196256
63.981889963150024	39	122.536585366	50.9093395816	200.0	19.0	122.536585366	50.9093395816	5024	201280
66.46044540405273	40	137.918918919	42.9067992964	200.0	27.0	137.918918919	42.9067992964	5103	206383
68.84613370895386	41	130.974358974	47.7485331655	200.0	19.0	130.974358974	47.7485331655	5108	211491
71.1646876335144	42	124.024390244	52.4992393928	200.0	20.0	124.024390244	52.4992393928	5085	216576
73.65394520759583	43	146.8	47.5020601057	200.0	29.0	146.8	47.5020601057	5138	221714
75.9723973274231	44	131.763157895	48.512306746	200.0	17.0	131.763157895	48.512306746	5007	226721
78.62084174156189	45	157.75	48.7557688894	200.0	42.0	157.75	48.7557688894	5048	231769
81.29665684700012	46	152.470588235	43.5628250138	200.0	39.0	152.470588235	43.5628250138	5184	236953
83.97106766700745	47	143.685714286	46.2908639111	200.0	30.0	143.685714286	46.2908639111	5029	241982
86.66972970962524	48	160.15625	44.1546354977	200.0	27.0	160.15625	44.1546354977	5125	247107
89.37021684646606	49	169.8	40.8798238744	200.0	52.0	169.8	40.8798238744	5094	252201
92.06029319763184	50	167.290322581	41.5165676594	200.0	64.0	167.290322581	41.5165676594	5186	257387
94.90270066261292	51	178.689655172	34.6152283095	200.0	90.0	178.689655172	34.6152283095	5182	262569
97.63355922698975	52	170.866666667	42.3239359648	200.0	34.0	170.866666667	42.3239359648	5126	267695
100.3716390132904	53	180.178571429	39.482413419	200.0	30.0	180.178571429	39.482413419	5045	272740
103.09924149513245	54	174.620689655	39.9598192957	200.0	58.0	174.620689655	39.9598192957	5064	277804
105.99784398078918	55	185.535714286	23.1508749339	200.0	133.0	185.535714286	23.1508749339	5195	282999
109.03969120979309	56	170.1	46.6921478052	200.0	37.0	170.1	46.6921478052	5103	288102
111.78641653060913	57	181.464285714	26.994023337	200.0	117.0	181.464285714	26.994023337	5081	293183
114.78655195236206	58	178.892857143	43.0376407393	200.0	33.0	178.892857143	43.0376407393	5009	298192
117.73716878890991	59	192.615384615	14.712833025	200.0	151.0	192.615384615	14.712833025	5008	303200
120.5764319896698	60	193.5	22.5205034785	200.0	114.0	193.5	22.5205034785	5031	308231
123.47182393074036	61	192.296296296	27.7753085322	200.0	76.0	192.296296296	27.7753085322	5192	313423
126.51580953598022	62	194.615384615	18.0001643648	200.0	128.0	194.615384615	18.0001643648	5060	318483
129.62100291252136	63	197.961538462	10.1923076923	200.0	147.0	197.961538462	10.1923076923	5147	323630
132.49741864204407	64	191.925925926	21.8240878235	200.0	103.0	191.925925926	21.8240878235	5182	328812
135.27209544181824	65	187.333333333	31.753681618	200.0	57.0	187.333333333	31.753681618	5058	333870
138.22606301307678	66	198.192307692	8.09567420469	200.0	158.0	198.192307692	8.09567420469	5153	339023
141.09330773353577	67	191.481481481	23.0833760455	200.0	107.0	191.481481481	23.0833760455	5170	344193
144.33020734786987	68	200.0	0.0	200.0	200.0	200.0	0.0	5200	349393
147.13677096366882	69	186.481481481	26.2189786653	200.0	102.0	186.481481481	26.2189786653	5035	354428
149.95060205459595	70	193.692307692	20.9555743103	200.0	95.0	193.692307692	20.9555743103	5036	359464
152.91985487937927	71	180.464285714	29.261727982	200.0	124.0	180.464285714	29.261727982	5053	364517
155.6626420021057	72	181.285714286	37.8293698664	200.0	26.0	181.285714286	37.8293698664	5076	369593
158.6451437473297	73	190.333333333	18.1618240233	200.0	133.0	190.333333333	18.1618240233	5139	374732
161.5660011768341	74	182.821428571	23.5676133276	200.0	118.0	182.821428571	23.5676133276	5119	379851
164.2342824935913	75	170.133333333	37.694149266	200.0	36.0	170.133333333	37.694149266	5104	384955
166.90523743629456	76	173.344827586	27.358760637	200.0	118.0	173.344827586	27.358760637	5027	389982
169.71372818946838	77	172.866666667	39.7825198911	200.0	14.0	172.866666667	39.7825198911	5186	395168
172.78151679039001	78	183.928571429	35.6008914128	200.0	40.0	183.928571429	35.6008914128	5150	400318
175.5601086616516	79	183.0	21.0136010377	200.0	126.0	183.0	21.0136010377	5124	405442
178.31312823295593	80	186.888888889	22.3992945215	200.0	116.0	186.888888889	22.3992945215	5046	410488
181.15510606765747	81	193.461538462	16.1298356357	200.0	132.0	193.461538462	16.1298356357	5030	415518
183.93547224998474	82	189.814814815	17.1573049706	200.0	131.0	189.814814815	17.1573049706	5125	420643
186.85081696510315	83	186.814814815	25.3888821352	200.0	117.0	186.814814815	25.3888821352	5044	425687
189.84509992599487	84	188.62962963	23.5453040819	200.0	124.0	188.62962963	23.5453040819	5093	430780
192.61168670654297	85	186.962962963	25.2241528602	200.0	113.0	186.962962963	25.2241528602	5048	435828
195.42688083648682	86	185.285714286	26.2050392412	200.0	83.0	185.285714286	26.2050392412	5188	441016
198.28657698631287	87	192.692307692	16.7717005944	200.0	143.0	192.692307692	16.7717005944	5010	446026
201.3215594291687	88	191.62962963	22.0624503326	200.0	119.0	191.62962963	22.0624503326	5174	451200
204.1596863269806	89	194.923076923	16.4689056124	200.0	122.0	194.923076923	16.4689056124	5068	456268
207.0655574798584	90	196.461538462	10.3560861676	200.0	160.0	196.461538462	10.3560861676	5108	461376
209.94887495040894	91	191.518518519	18.5099980398	200.0	114.0	191.518518519	18.5099980398	5171	466547
212.86612558364868	92	196.269230769	9.68963638402	200.0	163.0	196.269230769	9.68963638402	5103	471650
215.8829596042633	93	185.592592593	35.3304603227	200.0	39.0	185.592592593	35.3304603227	5011	476661
218.75032591819763	94	182.821428571	32.6999929788	200.0	61.0	182.821428571	32.6999929788	5119	481780
221.6345076560974	95	183.964285714	34.8972800238	200.0	39.0	183.964285714	34.8972800238	5151	486931
224.68944430351257	96	192.846153846	14.8264117442	200.0	154.0	192.846153846	14.8264117442	5014	491945
227.52977657318115	97	190.111111111	21.4740727965	200.0	121.0	190.111111111	21.4740727965	5133	497078
230.4281189441681	98	186.925925926	25.0317219868	200.0	113.0	186.925925926	25.0317219868	5047	502125
233.44819855690002	99	189.148148148	18.4485344268	200.0	139.0	189.148148148	18.4485344268	5107	507232
