Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.756256103515625	0	11.0109289617	6.14487130861	43.0	3.0	11.0109289617	6.14487130861	2015	2015
2.640859365463257	1	17.7787610619	11.255468298	54.0	3.0	17.7787610619	11.255468298	2009	4024
4.662342548370361	2	18.8317757009	12.9906407584	88.0	3.0	18.8317757009	12.9906407584	2015	6039
6.348793983459473	3	27.04	17.2576089499	95.0	6.0	27.04	17.2576089499	2028	8067
7.037230730056763	4	22.1648351648	16.3507325751	93.0	3.0	22.1648351648	16.3507325751	2017	10084
7.720083713531494	5	25.2125	16.1676325957	71.0	4.0	25.2125	16.1676325957	2017	12101
8.401638746261597	6	26.1038961039	16.735982245	80.0	4.0	26.1038961039	16.735982245	2010	14111
8.995837688446045	7	34.8793103448	25.9003911475	128.0	4.0	34.8793103448	25.9003911475	2023	16134
9.591557502746582	8	34.1525423729	19.7130375505	84.0	5.0	34.1525423729	19.7130375505	2015	18149
10.201308012008667	9	31.703125	16.6016562497	74.0	5.0	31.703125	16.6016562497	2029	20178
10.835870027542114	10	37.5740740741	21.3555455994	100.0	7.0	37.5740740741	21.3555455994	2029	22207
11.464102506637573	11	32.3064516129	24.6482275157	125.0	4.0	32.3064516129	24.6482275157	2003	24210
13.92458438873291	12	36.25	24.0477575432	105.0	4.0	36.25	24.0477575432	2030	26240
15.223764896392822	13	35.8035714286	23.7910694851	104.0	5.0	35.8035714286	23.7910694851	2005	28245
16.00055193901062	14	43.1276595745	30.9458119541	148.0	4.0	43.1276595745	30.9458119541	2027	30272
16.677526712417603	15	45.3555555556	32.2539613798	130.0	4.0	45.3555555556	32.2539613798	2041	32313
17.28215265274048	16	45.1086956522	34.7701947956	161.0	4.0	45.1086956522	34.7701947956	2075	34388
18.969770431518555	17	53.4102564103	30.3363351138	127.0	6.0	53.4102564103	30.3363351138	2083	36471
21.021653175354004	18	54.2432432432	37.8691955006	167.0	8.0	54.2432432432	37.8691955006	2007	38478
21.61877131462097	19	55.7222222222	26.6912502425	119.0	7.0	55.7222222222	26.6912502425	2006	40484
22.268897771835327	20	52.8717948718	29.0844742151	124.0	8.0	52.8717948718	29.0844742151	2062	42546
23.080363035202026	21	56.0833333333	34.9574145688	162.0	4.0	56.0833333333	34.9574145688	2019	44565
25.2134792804718	22	71.0344827586	47.3996091637	212.0	10.0	71.0344827586	47.3996091637	2060	46625
26.866268396377563	23	76.5185185185	47.5218237354	170.0	5.0	76.5185185185	47.5218237354	2066	48691
27.60226345062256	24	77.1111111111	47.8720001155	168.0	10.0	77.1111111111	47.8720001155	2082	50773
28.326538562774658	25	83.7083333333	51.4890596524	208.0	20.0	83.7083333333	51.4890596524	2009	52782
28.999606370925903	26	73.4827586207	44.5201393325	162.0	13.0	73.4827586207	44.5201393325	2131	54913
30.741563081741333	27	74.3703703704	53.1776534438	270.0	3.0	74.3703703704	53.1776534438	2008	56921
32.62661957740784	28	100.85	55.1663620334	182.0	16.0	100.85	55.1663620334	2017	58938
33.37763690948486	29	92.652173913	67.0837300923	287.0	8.0	92.652173913	67.0837300923	2131	61069
34.08463454246521	30	77.3076923077	46.078335666	188.0	12.0	77.3076923077	46.078335666	2010	63079
34.78187298774719	31	81.5769230769	43.8477901179	187.0	5.0	81.5769230769	43.8477901179	2121	65200
36.141695737838745	32	78.2307692308	36.3045956958	151.0	10.0	78.2307692308	36.3045956958	2034	67234
38.43467140197754	33	77.8846153846	41.8875113783	159.0	4.0	77.8846153846	41.8875113783	2025	69259
39.07159733772278	34	99.0952380952	45.3671842403	188.0	18.0	99.0952380952	45.3671842403	2081	71340
39.73052620887756	35	107.947368421	64.792359592	274.0	16.0	107.947368421	64.792359592	2051	73391
40.42243409156799	36	135.266666667	89.2445827799	334.0	15.0	135.266666667	89.2445827799	2029	75420
41.65703248977661	37	123.470588235	69.8907699427	226.0	29.0	123.470588235	69.8907699427	2099	77519
44.1678352355957	38	156.076923077	133.160667292	539.0	18.0	156.076923077	133.160667292	2029	79548
44.88690733909607	39	166.833333333	127.513289068	363.0	12.0	166.833333333	127.513289068	2002	81550
45.568248987197876	40	228.1	134.338713705	421.0	43.0	228.1	134.338713705	2281	83831
46.25677514076233	41	237.3	200.004024959	684.0	24.0	237.3	200.004024959	2373	86204
46.85488820075989	42	203.4	218.788116679	613.0	14.0	203.4	218.788116679	2034	88238
49.83926558494568	43	147.214285714	101.043963962	337.0	28.0	147.214285714	101.043963962	2061	90299
50.72375822067261	44	200.181818182	200.851287448	763.0	26.0	200.181818182	200.851287448	2202	92501
51.42739748954773	45	129.0	124.847907471	488.0	7.0	129.0	124.847907471	2322	94823
52.08119034767151	46	97.9090909091	77.6857943554	256.0	5.0	97.9090909091	77.6857943554	2154	96977
53.2635223865509	47	135.4375	112.366570179	439.0	19.0	135.4375	112.366570179	2167	99144
55.82414269447327	48	201.5	171.333154993	514.0	32.0	201.5	171.333154993	2015	101159
56.42295265197754	49	126.875	100.529146893	383.0	11.0	126.875	100.529146893	2030	103189
57.0276243686676	50	122.294117647	76.1953871584	325.0	3.0	122.294117647	76.1953871584	2079	105268
57.640488386154175	51	103.35	53.6826554857	197.0	10.0	103.35	53.6826554857	2067	107335
58.27486991882324	52	115.578947368	52.8566241325	228.0	33.0	115.578947368	52.8566241325	2196	109531
60.123496770858765	53	112.789473684	64.10565206	260.0	12.0	112.789473684	64.10565206	2143	111674
61.97999978065491	54	139.6875	94.8226757888	306.0	6.0	139.6875	94.8226757888	2235	113909
63.253645181655884	55	410.333333333	284.845962271	1000.0	114.0	410.333333333	284.845962271	2462	116371
64.5990834236145	56	311.857142857	198.287978579	780.0	129.0	311.857142857	198.287978579	2183	118554
66.21185636520386	57	499.4	297.3116883	862.0	87.0	499.4	297.3116883	2497	121051
66.8881905078888	58	315.857142857	241.377255747	614.0	46.0	315.857142857	241.377255747	2211	123262
67.75013470649719	59	614.25	265.514006222	884.0	243.0	614.25	265.514006222	2457	125719
68.45766496658325	60	436.6	320.078490374	1000.0	117.0	436.6	320.078490374	2183	127902
69.35527062416077	61	439.0	334.790979568	1000.0	61.0	439.0	334.790979568	2634	130536
70.08155560493469	62	337.142857143	356.656468797	1000.0	5.0	337.142857143	356.656468797	2360	132896
71.95799326896667	63	346.5	268.598057824	715.0	71.0	346.5	268.598057824	2079	134975
73.80938863754272	64	374.833333333	229.443832391	811.0	140.0	374.833333333	229.443832391	2249	137224
74.79996919631958	65	317.714285714	304.397632	1000.0	23.0	317.714285714	304.397632	2224	139448
76.10017275810242	66	247.777777778	187.062543182	731.0	33.0	247.777777778	187.062543182	2230	141678
77.22898578643799	67	295.142857143	237.128915253	759.0	24.0	295.142857143	237.128915253	2066	143744
78.29283428192139	68	538.0	294.54286615	962.0	149.0	538.0	294.54286615	2152	145896
79.11754536628723	69	702.25	350.867763552	1000.0	142.0	702.25	350.867763552	2809	148705
79.8859531879425	70	604.0	418.856180568	1000.0	15.0	604.0	418.856180568	2416	151121
80.51552557945251	71	507.75	492.286692386	1000.0	7.0	507.75	492.286692386	2031	153152
81.2730643749237	72	498.0	327.599145298	1000.0	41.0	498.0	327.599145298	2490	155642
82.01331686973572	73	696.666666667	264.71158309	1000.0	355.0	696.666666667	264.71158309	2090	157732
84.79002141952515	74	368.0	369.395903244	893.0	25.0	368.0	369.395903244	2208	159940
85.79135370254517	75	409.0	331.635341904	1000.0	39.0	409.0	331.635341904	2045	161985
86.83556294441223	76	480.2	275.674010382	1000.0	242.0	480.2	275.674010382	2401	164386
88.35312557220459	77	674.25	325.934330042	1000.0	333.0	674.25	325.934330042	2697	167083
89.53994750976562	78	368.5	302.23431859	1000.0	114.0	368.5	302.23431859	2211	169294
90.47544240951538	79	358.333333333	149.090203866	503.0	43.0	358.333333333	149.090203866	2150	171444
91.25935292243958	80	689.0	267.021846797	1000.0	348.0	689.0	267.021846797	2067	173511
92.02641701698303	81	673.25	337.676898085	1000.0	226.0	673.25	337.676898085	2693	176204
92.68597483634949	82	684.666666667	285.307241798	1000.0	309.0	684.666666667	285.307241798	2054	178258
93.40116906166077	83	326.571428571	312.926671987	1000.0	21.0	326.571428571	312.926671987	2286	180544
95.04658079147339	84	906.0	132.936074863	1000.0	718.0	906.0	132.936074863	2718	183262
97.23603320121765	85	818.0	257.386868352	1000.0	454.0	818.0	257.386868352	2454	185716
98.05508375167847	86	918.333333333	115.494107594	1000.0	755.0	918.333333333	115.494107594	2755	188471
99.03937911987305	87	320.0	305.107631282	1000.0	25.0	320.0	305.107631282	2880	191351
99.82776117324829	88	821.666666667	252.201418623	1000.0	465.0	821.666666667	252.201418623	2465	193816
102.74573588371277	89	692.333333333	435.10637269	1000.0	77.0	692.333333333	435.10637269	2077	195893
103.4084997177124	90	777.333333333	174.80338161	1000.0	573.0	777.333333333	174.80338161	2332	198225
103.98635792732239	91	338.0	271.145102605	726.0	5.0	338.0	271.145102605	2028	200253
104.64372897148132	92	749.333333333	354.496199635	1000.0	248.0	749.333333333	354.496199635	2248	202501
105.3524603843689	93	578.75	435.008836117	1000.0	4.0	578.75	435.008836117	2315	204816
108.75523257255554	94	1000.0	0.0	1000.0	1000.0	1000.0	0.0	3000	207816
109.41046166419983	95	515.0	367.068794642	1000.0	137.0	515.0	367.068794642	2060	209876
110.15970492362976	96	522.4	424.172417774	1000.0	34.0	522.4	424.172417774	2612	212488
110.93512225151062	97	188.538461538	257.814368336	913.0	5.0	188.538461538	257.814368336	2451	214939
111.78938269615173	98	243.1	355.200070383	1000.0	5.0	243.1	355.200070383	2431	217370
112.73450970649719	99	418.5	428.682769267	1000.0	9.0	418.5	428.682769267	2511	219881
