Time	Iteration	l1	l2	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.5405852794647217	0	15.094	15.4997	18.1964285714	8.08309444559	52.0	9.0	18.1964285714	8.08309444559	1019	1019
0.7214787006378174	1	26.4165	26.914	26.9210526316	17.8183547869	89.0	10.0	26.9210526316	17.8183547869	1023	2042
0.9170560836791992	2	38.6781	38.6962	37.2142857143	28.5023271517	152.0	12.0	37.2142857143	28.5023271517	1042	3084
1.0904786586761475	3	28.423	28.4056	40.28	13.9298815501	70.0	19.0	40.28	13.9298815501	1007	4091
1.2668066024780273	4	33.1556	33.1733	47.5454545455	18.526951554	74.0	15.0	47.5454545455	18.526951554	1046	5137
1.441192865371704	5	30.807	30.8939	46.0909090909	16.1664891643	83.0	27.0	46.0909090909	16.1664891643	1014	6151
1.61147141456604	6	42.961	42.9545	65.1875	26.4178413908	125.0	29.0	65.1875	26.4178413908	1043	7194
1.7911643981933594	7	35.4548	35.4442	57.5789473684	18.097152406	100.0	27.0	57.5789473684	18.097152406	1094	8288
1.9604198932647705	8	46.2039	46.1302	78.6153846154	24.7682751846	146.0	43.0	78.6153846154	24.7682751846	1022	9310
2.143172264099121	9	42.0704	42.0659	70.7333333333	26.8165786201	136.0	39.0	70.7333333333	26.8165786201	1061	10371
2.3086116313934326	10	57.8041	57.9665	84.75	48.5010738713	189.0	35.0	84.75	48.5010738713	1017	11388
2.4782156944274902	11	41.2109	41.2979	72.6428571429	25.4407073769	140.0	38.0	72.6428571429	25.4407073769	1017	12405
2.6562392711639404	12	44.9827	44.877	82.8461538462	19.8565864052	124.0	51.0	82.8461538462	19.8565864052	1077	13482
2.8299448490142822	13	37.9506	37.9644	72.0	21.4908618454	134.0	50.0	72.0	21.4908618454	1008	14490
2.9998087882995605	14	36.7252	36.7378	72.3571428571	20.6971604086	111.0	43.0	72.3571428571	20.6971604086	1013	15503
3.169525146484375	15	35.9211	35.9319	64.5	21.1955183942	112.0	37.0	64.5	21.1955183942	1032	16535
3.3448102474212646	16	32.2704	32.234	64.4375	18.4084516934	107.0	34.0	64.4375	18.4084516934	1031	17566
3.5120413303375244	17	39.6669	39.7059	72.1428571429	28.5303275803	127.0	39.0	72.1428571429	28.5303275803	1010	18576
3.6925132274627686	18	40.1125	40.129	76.2142857143	23.3121016134	116.0	41.0	76.2142857143	23.3121016134	1067	19643
3.871506690979004	19	40.4619	40.4174	75.1428571429	28.8787048158	151.0	40.0	75.1428571429	28.8787048158	1052	20695
4.05268120765686	20	31.608	31.6741	59.1666666667	21.1246301743	119.0	33.0	59.1666666667	21.1246301743	1065	21760
4.2318902015686035	21	27.8899	27.8801	56.2222222222	14.1717855676	93.0	26.0	56.2222222222	14.1717855676	1012	22772
4.408499479293823	22	32.7033	32.6796	62.1764705882	22.7162426836	114.0	40.0	62.1764705882	22.7162426836	1057	23829
4.586422443389893	23	34.148	34.0512	65.0625	21.5478210905	115.0	36.0	65.0625	21.5478210905	1041	24870
4.75959324836731	24	44.3587	44.3855	72.7857142857	44.841273353	200.0	31.0	72.7857142857	44.841273353	1019	25889
4.945902347564697	25	39.5289	39.3734	77.4615384615	32.3552763135	152.0	34.0	77.4615384615	32.3552763135	1007	26896
5.129316091537476	26	47.9996	48.1207	87.75	36.9461883465	144.0	39.0	87.75	36.9461883465	1053	27949
