Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.529841423034668	0	15.2196969697	5.44019049625	36.0	7.0	15.2196969697	5.44019049625	2009	2009
2.2684974670410156	1	18.9905660377	3.3435245301	29.0	11.0	18.9905660377	3.3435245301	2013	4022
2.934934616088867	2	49.7073170732	16.7714099098	115.0	29.0	49.7073170732	16.7714099098	2038	6060
3.7508645057678223	3	40.14	16.1245279001	129.0	28.0	40.14	16.1245279001	2007	8067
4.514618396759033	4	40.24	15.2545861956	85.0	23.0	40.24	15.2545861956	2012	10079
7.208429574966431	5	51.6666666667	19.9387952383	116.0	25.0	51.6666666667	19.9387952383	2015	12094
8.2215576171875	6	55.6944444444	16.9145227614	95.0	34.0	55.6944444444	16.9145227614	2005	14099
8.868213176727295	7	59.4117647059	17.6353882978	119.0	30.0	59.4117647059	17.6353882978	2020	16119
9.57235860824585	8	59.8529411765	12.4620184206	92.0	44.0	59.8529411765	12.4620184206	2035	18154
10.29311752319336	9	55.3243243243	13.2319311864	95.0	31.0	55.3243243243	13.2319311864	2047	20201
12.806649923324585	10	58.0285714286	13.063549538	98.0	42.0	58.0285714286	13.063549538	2031	22232
13.938600540161133	11	60.6764705882	13.9108941402	107.0	44.0	60.6764705882	13.9108941402	2063	24295
14.68609356880188	12	64.9677419355	18.9574802174	124.0	38.0	64.9677419355	18.9574802174	2014	26309
15.419071435928345	13	66.0	19.3424153677	120.0	44.0	66.0	19.3424153677	2046	28355
16.092257738113403	14	60.6666666667	23.4426012967	137.0	40.0	60.6666666667	23.4426012967	2002	30357
18.388282537460327	15	63.4375	19.2141508725	114.0	38.0	63.4375	19.2141508725	2030	32387
19.8749041557312	16	64.1875	12.2153527886	95.0	36.0	64.1875	12.2153527886	2054	34441
20.5539653301239	17	70.7586206897	19.1359116673	119.0	52.0	70.7586206897	19.1359116673	2052	36493
21.34696865081787	18	81.04	20.787457757	135.0	44.0	81.04	20.787457757	2026	38519
22.10498833656311	19	89.5217391304	15.8494810372	129.0	62.0	89.5217391304	15.8494810372	2059	40578
24.547446489334106	20	97.380952381	19.876945704	141.0	70.0	97.380952381	19.876945704	2045	42623
25.745748281478882	21	79.8076923077	20.011572096	126.0	54.0	79.8076923077	20.011572096	2075	44698
26.44875431060791	22	38.0754716981	10.0542848401	67.0	25.0	38.0754716981	10.0542848401	2018	46716
27.23483180999756	23	39.5098039216	9.54324018847	64.0	19.0	39.5098039216	9.54324018847	2015	48731
27.8891339302063	24	67.4333333333	17.2736472376	114.0	45.0	67.4333333333	17.2736472376	2023	50754
30.152016162872314	25	127.5	38.3275357935	226.0	79.0	127.5	38.3275357935	2040	52794
31.50236415863037	26	216.3	59.0610700885	271.0	124.0	216.3	59.0610700885	2163	54957
32.237571716308594	27	193.545454545	7.31578165045	209.0	182.0	193.545454545	7.31578165045	2129	57086
33.04417300224304	28	138.4	3.22076595445	148.0	135.0	138.4	3.22076595445	2076	59162
33.81762409210205	29	119.470588235	2.49982698363	124.0	115.0	119.470588235	2.49982698363	2031	61193
34.66643834114075	30	96.8095238095	2.21722794797	102.0	92.0	96.8095238095	2.21722794797	2033	63226
35.53152799606323	31	82.68	1.54194682139	86.0	79.0	82.68	1.54194682139	2067	65293
36.22215032577515	32	74.1428571429	2.32554579944	78.0	70.0	74.1428571429	2.32554579944	2076	67369
36.86493635177612	33	65.7741935484	1.2879009534	69.0	63.0	65.7741935484	1.2879009534	2039	69408
37.53271770477295	34	60.4411764706	1.24123222624	63.0	58.0	60.4411764706	1.24123222624	2055	71463
38.31140851974487	35	58.4285714286	1.45966168851	62.0	56.0	58.4285714286	1.45966168851	2045	73508
39.12696719169617	36	57.0	0.849836585599	59.0	55.0	57.0	0.849836585599	2052	75560
40.97681283950806	37	58.3714285714	1.0713333291	60.0	56.0	58.3714285714	1.0713333291	2043	77603
43.215492963790894	38	58.4	1.01980390272	61.0	57.0	58.4	1.01980390272	2044	79647
44.011260986328125	39	57.0277777778	0.798822435808	59.0	55.0	57.0277777778	0.798822435808	2053	81700
44.78771233558655	40	56.4166666667	0.829156197589	59.0	55.0	56.4166666667	0.829156197589	2031	83731
45.53632116317749	41	54.5945945946	0.998903708788	57.0	53.0	54.5945945946	0.998903708788	2020	85751
46.24662160873413	42	54.2972972973	0.766348479933	56.0	53.0	54.2972972973	0.766348479933	2009	87760
46.99755597114563	43	53.8684210526	0.922555165419	56.0	52.0	53.8684210526	0.922555165419	2047	89807
47.65183472633362	44	53.4736842105	0.818755220321	55.0	52.0	53.4736842105	0.818755220321	2032	91839
48.26956629753113	45	53.1842105263	1.04768574934	55.0	51.0	53.1842105263	1.04768574934	2021	93860
48.950279712677	46	51.7692307692	0.973008510821	54.0	50.0	51.7692307692	0.973008510821	2019	95879
49.686649560928345	47	50.3	1.05356537529	52.0	48.0	50.3	1.05356537529	2012	97891
50.338507890701294	48	49.0731707317	1.21755941213	52.0	47.0	49.0731707317	1.21755941213	2012	99903
50.964181423187256	49	49.0243902439	1.17883375352	52.0	47.0	49.0243902439	1.17883375352	2010	101913
51.9570951461792	50	49.3902439024	1.52823904369	53.0	46.0	49.3902439024	1.52823904369	2025	103938
54.679949045181274	51	50.675	1.10425314127	53.0	49.0	50.675	1.10425314127	2027	105965
55.53702640533447	52	53.3947368421	1.30866492202	57.0	51.0	53.3947368421	1.30866492202	2029	107994
56.34700560569763	53	56.8888888889	1.96889390519	61.0	53.0	56.8888888889	1.96889390519	2048	110042
57.05777049064636	54	60.2647058824	2.41695997106	65.0	56.0	60.2647058824	2.41695997106	2049	112091
57.73850655555725	55	63.90625	2.77668164137	71.0	58.0	63.90625	2.77668164137	2045	114136
58.37537240982056	56	70.5172413793	3.710383284	81.0	65.0	70.5172413793	3.710383284	2045	116181
59.05445981025696	57	79.3461538462	4.06620506967	86.0	71.0	79.3461538462	4.06620506967	2063	118244
59.80346488952637	58	89.1739130435	3.53433068398	97.0	80.0	89.1739130435	3.53433068398	2051	120295
60.92466187477112	59	103.2	8.32225930863	128.0	91.0	103.2	8.32225930863	2064	122359
63.53053164482117	60	119.588235294	15.1620998993	166.0	96.0	119.588235294	15.1620998993	2033	124392
64.25520491600037	61	164.538461538	46.6370855809	263.0	108.0	164.538461538	46.6370855809	2139	126531
65.06243371963501	62	175.75	34.6701720984	246.0	131.0	175.75	34.6701720984	2109	128640
65.81491255760193	63	166.384615385	53.6448986198	328.0	122.0	166.384615385	53.6448986198	2163	130803
66.43759179115295	64	112.722222222	12.0083561441	138.0	97.0	112.722222222	12.0083561441	2029	132832
67.11296606063843	65	92.2727272727	8.49696105131	115.0	81.0	92.2727272727	8.49696105131	2030	134862
67.82739019393921	66	88.9130434783	7.03354103087	106.0	80.0	88.9130434783	7.03354103087	2045	136907
68.461599111557	67	82.64	5.69828044238	99.0	71.0	82.64	5.69828044238	2066	138973
69.11515188217163	68	79.0769230769	5.70373074213	92.0	69.0	79.0769230769	5.70373074213	2056	141029
71.84993433952332	69	78.3461538462	5.88310689564	94.0	70.0	78.3461538462	5.88310689564	2037	143066
73.04808259010315	70	80.96	6.74376749303	101.0	73.0	80.96	6.74376749303	2024	145090
73.77863955497742	71	82.24	6.57437449496	92.0	72.0	82.24	6.57437449496	2056	147146
74.54990482330322	72	88.4347826087	8.80131456069	113.0	76.0	88.4347826087	8.80131456069	2034	149180
75.33825087547302	73	91.5	7.14620051623	110.0	78.0	91.5	7.14620051623	2013	151193
76.02433705329895	74	94.6818181818	7.36321547619	116.0	82.0	94.6818181818	7.36321547619	2083	153276
76.75668478012085	75	99.0476190476	8.28352461488	120.0	87.0	99.0476190476	8.28352461488	2080	155356
77.54549169540405	76	103.5	6.48459713475	118.0	92.0	103.5	6.48459713475	2070	157426
79.06372833251953	77	102.95	8.10848321204	129.0	90.0	102.95	8.10848321204	2059	159485
81.24725127220154	78	111.611111111	10.0892621076	129.0	97.0	111.611111111	10.0892621076	2009	161494
82.0820198059082	79	119.470588235	15.1001271793	157.0	96.0	119.470588235	15.1001271793	2031	163525
82.89082264900208	80	135.466666667	15.0460035299	160.0	111.0	135.466666667	15.0460035299	2032	165557
83.79963111877441	81	148.285714286	19.2888886276	184.0	118.0	148.285714286	19.2888886276	2076	167633
84.59982419013977	82	183.090909091	34.4949391425	255.0	138.0	183.090909091	34.4949391425	2014	169647
85.37850999832153	83	229.0	39.4630628985	298.0	170.0	229.0	39.4630628985	2061	171708
86.28980040550232	84	349.0	77.655220902	447.0	263.0	349.0	77.655220902	2094	173802
87.09469246864319	85	260.125	39.4538892253	326.0	205.0	260.125	39.4538892253	2081	175883
88.08049821853638	86	232.666666667	17.69494592	261.0	208.0	232.666666667	17.69494592	2094	177977
88.96442008018494	87	229.0	20.3960780544	256.0	194.0	229.0	20.3960780544	2061	180038
89.84680080413818	88	236.333333333	26.2424592344	269.0	184.0	236.333333333	26.2424592344	2127	182165
90.58947944641113	89	210.3	75.7839692811	328.0	86.0	210.3	75.7839692811	2103	184268
91.54596996307373	90	192.636363636	59.7924785894	296.0	110.0	192.636363636	59.7924785894	2119	186387
92.30633091926575	91	176.5	68.7137783369	359.0	104.0	176.5	68.7137783369	2118	188505
93.0509614944458	92	146.142857143	45.8940661319	260.0	82.0	146.142857143	45.8940661319	2046	190551
93.86518049240112	93	147.714285714	43.9178267928	271.0	78.0	147.714285714	43.9178267928	2068	192619
94.53731560707092	94	124.117647059	33.346456471	189.0	74.0	124.117647059	33.346456471	2110	194729
95.32694840431213	95	120.588235294	53.0006202223	279.0	43.0	120.588235294	53.0006202223	2050	196779
97.90857100486755	96	115.722222222	37.4266772883	202.0	48.0	115.722222222	37.4266772883	2083	198862
99.49319195747375	97	106.9	37.045782486	187.0	60.0	106.9	37.045782486	2138	201000
100.3268883228302	98	120.411764706	25.291381521	159.0	76.0	120.411764706	25.291381521	2047	203047
101.04540181159973	99	134.2	47.005247934	234.0	70.0	134.2	47.005247934	2013	205060
